Bitcoin,"8,866.65",https://coinmarketcap.com/currencies/bitcoin/
Ethereum,213.07,https://coinmarketcap.com/currencies/ethereum/
XRP,0.217566,https://coinmarketcap.com/currencies/xrp/
Tether,1.01,https://coinmarketcap.com/currencies/tether/
Bitcoin Cash,253.72,https://coinmarketcap.com/currencies/bitcoin-cash/
Bitcoin SV,210.60,https://coinmarketcap.com/currencies/bitcoin-sv/
Litecoin,47.40,https://coinmarketcap.com/currencies/litecoin/
Binance Coin,17.19,https://coinmarketcap.com/currencies/binance-coin/
EOS,2.86,https://coinmarketcap.com/currencies/eos/
Tezos,2.82,https://coinmarketcap.com/currencies/tezos/
Stellar,0.069069,https://coinmarketcap.com/currencies/stellar/
Chainlink,3.76,https://coinmarketcap.com/currencies/chainlink/
Cardano,0.049739,https://coinmarketcap.com/currencies/cardano/
Monero,62.48,https://coinmarketcap.com/currencies/monero/
UNUS SED LEO,1.07,https://coinmarketcap.com/currencies/unus-sed-leo/
TRON,0.015389,https://coinmarketcap.com/currencies/tron/
Crypto.com Coin,0.059870,https://coinmarketcap.com/currencies/crypto-com-coin/
Huobi Token,4.29,https://coinmarketcap.com/currencies/huobi-token/
Dash,82.38,https://coinmarketcap.com/currencies/dash/
Ethereum Classic,6.54,https://coinmarketcap.com/currencies/ethereum-classic/
USD Coin,1.00,https://coinmarketcap.com/currencies/usd-coin/
HedgeTrade,2.23,https://coinmarketcap.com/currencies/hedgetrade/
Neo,8.98,https://coinmarketcap.com/currencies/neo/
Cosmos,2.79,https://coinmarketcap.com/currencies/cosmos/
IOTA,0.179478,https://coinmarketcap.com/currencies/iota/
Zcash,45.31,https://coinmarketcap.com/currencies/zcash/
NEM,0.040964,https://coinmarketcap.com/currencies/nem/
Maker,350.55,https://coinmarketcap.com/currencies/maker/
Ontology,0.496823,https://coinmarketcap.com/currencies/ontology/
OKB,5.42,https://coinmarketcap.com/currencies/okb/
Dogecoin,0.002501,https://coinmarketcap.com/currencies/dogecoin/
FTX Token,3.16,https://coinmarketcap.com/currencies/ftx-token/
Basic Attention Token,0.184426,https://coinmarketcap.com/currencies/basic-attention-token/
Paxos Standard,1.01,https://coinmarketcap.com/currencies/paxos-standard/
VeChain,0.004420,https://coinmarketcap.com/currencies/vechain/
DigiByte,0.014169,https://coinmarketcap.com/currencies/digibyte/
Binance USD,1.00,https://coinmarketcap.com/currencies/binance-usd/
Bitcoin Gold,9.98,https://coinmarketcap.com/currencies/bitcoin-gold/
Decred,13.67,https://coinmarketcap.com/currencies/decred/
Lisk,1.24,https://coinmarketcap.com/currencies/lisk/
Algorand,0.213782,https://coinmarketcap.com/currencies/algorand/
ICON,0.281841,https://coinmarketcap.com/currencies/icon/
Qtum,1.55,https://coinmarketcap.com/currencies/qtum/
Synthetix Network Token,0.773647,https://coinmarketcap.com/currencies/synthetix-network-token/
Hedera Hashgraph,0.035081,https://coinmarketcap.com/currencies/hedera-hashgraph/
